horizon_sessions,test_year,model,factor,factor_label,coefficient
60,2025,增强回撤模型,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,-0.0033579820439128957
60,2025,增强回撤模型,risk_gap_extreme_down_60d,跳空与极端下跌风险,-0.0011249735074928139
60,2025,增强回撤模型,risk_crowding_quarter_change,拥挤度季度变化,-0.0029608030484422647
60,2025,增强回撤模型,risk_intraday_atr_20d,20日日内振幅/ATR,0.015761790778452144
60,2026,收益模型,trend_5d,5日趋势,0.0005225748983160912
60,2026,收益模型,trend_20d,20日趋势,0.0012231719960110945
60,2026,收益模型,trend_60_ex_20,60日剔除近20日趋势,-0.007452212665673781
60,2026,收益模型,trend_120_ex_20,120日剔除近20日趋势,0.00656670756428469
60,2026,收益模型,value_bp,账面市值比（BP）,0.001390124591799485
60,2026,收益模型,value_ep,盈利收益率（EP）,-0.003161198782202206
60,2026,收益模型,liquidity_turnover_20d,20日平均换手率,-0.00920483538244242
60,2026,收益模型,crowding_max_return_20d,20日最大单日涨幅,-0.0032894067529942055
60,2026,基础回撤模型,risk_volatility_20d,20日波动率风险,0.00875591719103155
60,2026,基础回撤模型,risk_volatility_60d,60日波动率风险,0.015473574889313377
60,2026,基础回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.0013073346378665227
60,2026,基础回撤模型,risk_max_return_20d,20日最大单日涨幅风险,0.00139147421873441
60,2026,增强回撤模型,risk_volatility_20d,20日波动率风险,-0.004890388525997065
60,2026,增强回撤模型,risk_volatility_60d,60日波动率风险,0.010929833626797367
60,2026,增强回撤模型,risk_drawdown_60d,距60日高点回撤风险,0.0005131462830932207
60,2026,增强回撤模型,risk_max_return_20d,20日最大单日涨幅风险,0.004172651807812532
60,2026,增强回撤模型,risk_downside_volatility_60d,60日下行波动率风险,-0.0005415366129995739
60,2026,增强回撤模型,risk_residual_volatility_60d,60日残差波动率风险,0.004266468205869318
60,2026,增强回撤模型,risk_liquidity_pressure_60d,60日流动性压力,-0.00044850353912068657
60,2026,增强回撤模型,risk_cvar_60d,60日尾部损失（CVaR）,-0.00186862436989269
60,2026,增强回撤模型,risk_market_beta_60d,60日沪深300 Beta,0.0008014899548114593
60,2026,增强回撤模型,risk_healthcare_beta_60d,60日医疗板块Beta,0.000867277708219372
60,2026,增强回撤模型,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,-0.003078881214786629
60,2026,增强回撤模型,risk_gap_extreme_down_60d,跳空与极端下跌风险,-0.00127952807667826
60,2026,增强回撤模型,risk_crowding_quarter_change,拥挤度季度变化,-0.0021310472470027395
60,2026,增强回撤模型,risk_intraday_atr_20d,20日日内振幅/ATR,0.017054685528149757
120,2023,收益模型,trend_5d,5日趋势,0.007124178384752709
120,2023,收益模型,trend_20d,20日趋势,0.0031930044550331684
120,2023,收益模型,trend_60_ex_20,60日剔除近20日趋势,-0.0023074825531361892
120,2023,收益模型,trend_120_ex_20,120日剔除近20日趋势,0.028342540210695204
120,2023,收益模型,value_bp,账面市值比（BP）,0.0004706383507749845
120,2023,收益模型,value_ep,盈利收益率（EP）,-0.0037238320307040797
